Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2024-08-28 00:59 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-01-23 16:00 (GMT),,,,,,,,,,
2024-08-28 15:33 (UTC),On Demand,Susie Chan,20,Running,Music,20 min Country Run,2024-08-27 10:00 (UTC),0,,,,0,0,0,,0,
2024-08-28 22:25 (GMT),On Demand,Chelsea Jackson Roberts,30,Yoga,Slow Flow,30 min Jazz Slow Flow,2024-08-26 23:22 (GMT),,,,,,,17,,,
2024-08-29 15:04 (GMT),,,1,Running,,1 min Just Run,,12,,,,4.74,0.08,10,,0.01,12:40
2024-08-29 20:29 (GMT),,,20,Running,,20 min Entertainment Run,,212,,,,3.26,1.08,165,,5.94,18:25
2024-08-29 23:36 (GMT),On Demand,Kirra Michel,45,Yoga,Flow,45 min Yoga Flow,2024-08-29 16:54 (GMT),,,,,,,38,,,
2024-08-30 23:16 (GMT),On Demand,Nico Sarani,45,Yoga,Flow,45 min Yoga Flow,2024-08-30 18:54 (GMT),,,,,,,65,,,
2024-08-31 00:56 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-09-27 16:00 (GMT),,,,,,,,,,
2024-08-31 15:06 (GMT),On Demand,Hannah Corbin,30,Cycling,Intervals,30 min Intervals Ride,2024-08-30 20:30 (GMT),0,0,0%,0,0,0,60,,,
2024-08-31 23:30 (GMT),On Demand,Kirra Michel,30,Yoga,Flow,30 min Yoga Flow,2024-08-17 13:23 (GMT),,,,,,,76,,,
2024-09-01 00:48 (+01),On Demand,Nico Sarani,30,Meditation,Sleep,30 min Sleep Meditation,2024-07-08 16:00 (+01),,,,,,,,,,
2024-09-01 08:48 (UTC),On Demand,Susie Chan,30,Running,Intervals,30 min Intervals Run,2024-06-05 14:00 (UTC),9,,,,2.26,0.05,7,,1.64,26:34
2024-09-01 21:27 (+01),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance Rock Ride,2023-06-05 18:25 (+01),482,179,47%,84,20.34,15.25,649,86.00,,
2024-09-01 22:24 (+01),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 09:00 (+01),,,,,,,15,,,
2024-09-01 22:31 (+01),On Demand,Robin Arzon,10,Strength,Core,10 min Listening Party Core Strength,2024-08-02 05:00 (+01),,,,,,,58,,,
2024-09-01 23:14 (GMT),On Demand,Denis Morton,30,Yoga,Power,30 min Power Flow,2024-08-30 16:56 (GMT),,,,,,,78,,,
